Region,Year,Month,Energy
Brasil,2024,January,46835420.17100002
Norte,2024,January,3469530.5599999996
Nordeste,2024,January,8401502.120000001
Sudeste,2024,January,22368249.72
Sul,2024,January,8896396.660999998
Centro-Oeste,2024,January,3699741.11
Brasil,2023,January,42545451.4
Norte,2023,January,3179448.75
Nordeste,2023,January,7661411.17
Sudeste,2023,January,20159474.99
Sul,2023,January,8304697.21
Centro-Oeste,2023,January,3240419.28
Brasil,2022,January,42532862.36000001
Norte,2022,January,3033707.57
Nordeste,2022,January,7269935.419999999
Sudeste,2022,January,20474247.440000005
Sul,2022,January,8500828.26
Centro-Oeste,2022,January,3254143.6700000004
Brasil,2021,January,43093327.86000001
Norte,2021,January,2873240.7700000005
Nordeste,2021,January,7419802.7
Sudeste,2021,January,21497694.92
Sul,2021,January,8117258.05
Centro-Oeste,2021,January,3185331.42
Brasil,2020,January,41337389.0101
Norte,2020,January,2894525.5599999996
Nordeste,2020,January,7130559.42
Sudeste,2020,January,20157502.180000003
Sul,2020,January,7980474.770099999
Centro-Oeste,2020,January,3174327.08
Brasil,2019,January,41654959.989999995
Norte,2019,January,2563184.13
Nordeste,2019,January,6973292.250000001
Sudeste,2019,January,20965937.5
Sul,2019,January,8000635.0600000005
Centro-Oeste,2019,January,3151911.05
Brasil,2018,January,40058305.8
Norte,2018,January,2812897.8600000003
Nordeste,2018,January,6718801.139999999
Sudeste,2018,January,20078364.460000005
Sul,2018,January,7526624.319999999
Centro-Oeste,2018,January,2921618.02
Brasil,2017,January,39358019.58
Norte,2017,January,2766063
Nordeste,2017,January,6697103.29
Sudeste,2017,January,19686157.259999998
Sul,2017,January,7307446.3
Centro-Oeste,2017,January,2901249.73
Brasil,2016,January,38408542.10000001
Norte,2016,January,2734717
Nordeste,2016,January,6542214.100000001
Sudeste,2016,January,19314000.68
Sul,2016,January,6978391.33
Centro-Oeste,2016,January,2839218.99
Brasil,2015,January,40760683.53
Norte,2015,January,2720657.89
Nordeste,2015,January,6908173.279999999
Sudeste,2015,January,20943263.25
Sul,2015,January,7330738.32
Centro-Oeste,2015,January,2857850.79
Brasil,2014,January,40279759
Norte,2014,January,2600972
Nordeste,2014,January,6886428
Sudeste,2014,January,20704340
Sul,2014,January,7333087
Centro-Oeste,2014,January,2754932
Brasil,2013,January,38366809.739999995
Norte,2013,January,2392452.74
Nordeste,2013,January,6659728
Sudeste,2013,January,20089886
Sul,2013,January,6617103
Centro-Oeste,2013,January,2607640
Brasil,2012,January,36305167.29000001
Norte,2012,January,2368905.09
Nordeste,2012,January,6297828
Sudeste,2012,January,18915418
Sul,2012,January,6353277.2
Centro-Oeste,2012,January,2369739
Brasil,2011,January,35873744.260000005
Norte,2011,January,2215755.26
Nordeste,2011,January,5988600
Sudeste,2011,January,19247694
Sul,2011,January,6285133
Centro-Oeste,2011,January,2136562
Brasil,2010,January,33360460.71
Norte,2010,January,2065344.75
Nordeste,2010,January,5739946.35
Sudeste,2010,January,17684138.3
Sul,2010,January,5798706.31
Centro-Oeste,2010,January,2072325
Brasil,2009,January,30666661.8
Norte,2009,January,1981913
Nordeste,2009,January,5340331
Sudeste,2009,January,16124348
Sul,2009,January,5279472
Centro-Oeste,2009,January,1940597.8
Brasil,2008,January,31855946.27
Norte,2008,January,1890320
Nordeste,2008,January,5505389.27
Sudeste,2008,January,17157633
Sul,2008,January,5491078
Centro-Oeste,2008,January,1811526
Brasil,2007,January,30699704
Norte,2007,January,1833708
Nordeste,2007,January,5184828
Sudeste,2007,January,16699870
Sul,2007,January,5203429
Centro-Oeste,2007,January,1777869
Brasil,2006,January,28880910.62
Norte,2006,January,1727931.86
Nordeste,2006,January,4913181.87
Sudeste,2006,January,15695620.21
Sul,2006,January,4927599.7700000005
Centro-Oeste,2006,January,1616576.9100000001
Brasil,2005,January,28375437.441
Norte,2005,January,1687538.58
Nordeste,2005,January,4775175.930000001
Sudeste,2005,January,15518488.33
Sul,2005,January,4809416.19
Centro-Oeste,2005,January,1584818.411
Brasil,2004,January,26978358.020000007
Norte,2004,January,1574434.3399999999
Nordeste,2004,January,4457112.38
Sudeste,2004,January,14929524.399999999
Sul,2004,January,4510113.04
Centro-Oeste,2004,January,1507173.8599999999
Brasil,2024,February,46309139.48109998
Norte,2024,February,3313458.3299999996
Nordeste,2024,February,8159710.76
Sudeste,2024,February,22055645.830000002
Sul,2024,February,9152087.220099999
Centro-Oeste,2024,February,3628237.340999999
Brasil,2023,February,43021196.351100005
Norte,2023,February,2962051
Nordeste,2023,February,7494725.11
Sudeste,2023,February,20704477.071000006
Sul,2023,February,8623366.1601
Centro-Oeste,2023,February,3236577.0100000002
Brasil,2022,February,41848960.54
Norte,2022,February,2774942.82
Nordeste,2022,February,6998206.28
Sudeste,2022,February,20326411.77
Sul,2022,February,8547847.719999999
Centro-Oeste,2022,February,3201551.9499999997
Brasil,2021,February,41507062.78999999
Norte,2021,February,2756767.0200000005
Nordeste,2021,February,7043660.910000001
Sudeste,2021,February,20562262.520000003
Sul,2021,February,7972092.380000002
Centro-Oeste,2021,February,3172279.9600000004
Brasil,2020,February,40969701.86999999
Norte,2020,February,2836046.67
Nordeste,2020,February,6813766.969999999
Sudeste,2020,February,19994440.4
Sul,2020,February,8120195.39
Centro-Oeste,2020,February,3205252.4399999995
Brasil,2019,February,41170919.40999998
Norte,2019,February,2421378.87
Nordeste,2019,February,6827893.670000001
Sudeste,2019,February,20584521.409999996
Sul,2019,February,8131096.279999998
Centro-Oeste,2019,February,3206029.1799999997
Brasil,2018,February,39174100.749999985
Norte,2018,February,2650538.7600000002
Nordeste,2018,February,6357334.14
Sudeste,2018,February,19689599.590000004
Sul,2018,February,7571526.529999999
Centro-Oeste,2018,February,2905101.7300000004
Brasil,2017,February,38847236.49
Norte,2017,February,2556160
Nordeste,2017,February,6348751.7700000005
Sudeste,2017,February,19583907.14
Sul,2017,February,7520745.57
Centro-Oeste,2017,February,2837672.01
Brasil,2016,February,38733769.57
Norte,2016,February,2708798.6
Nordeste,2016,February,6284269.91
Sudeste,2016,February,19495060.04
Sul,2016,February,7406977.5200000005
Centro-Oeste,2016,February,2838663.5
Brasil,2015,February,40723219.36
Norte,2015,February,2565453
Nordeste,2015,February,6693234.81
Sudeste,2015,February,20869826.87
Sul,2015,February,7665269.3
Centro-Oeste,2015,February,2929435.38
Brasil,2014,February,41653487
Norte,2014,February,2476973
Nordeste,2014,February,6620899
Sudeste,2014,February,21763013
Sul,2014,February,8019594
Centro-Oeste,2014,February,2773008
Brasil,2013,February,38001415.72
Norte,2013,February,2266205.7199999997
Nordeste,2013,February,6452494
Sudeste,2013,February,19775484
Sul,2013,February,6948499
Centro-Oeste,2013,February,2558733
Brasil,2012,February,36888068.019999996
Norte,2012,February,2321771.54
Nordeste,2012,February,6010436
Sudeste,2012,February,19327465
Sul,2012,February,6812782.48
Centro-Oeste,2012,February,2415613
Brasil,2011,February,35444916.66
Norte,2011,February,2063281.6600000001
Nordeste,2011,February,5502639
Sudeste,2011,February,19218269
Sul,2011,February,6504407
Centro-Oeste,2011,February,2156320
Brasil,2010,February,33729757.75
Norte,2010,February,1976809.75
Nordeste,2010,February,5589432
Sudeste,2010,February,18113423
Sul,2010,February,5979347
Centro-Oeste,2010,February,2070746
Brasil,2009,February,30495142.71
Norte,2009,February,1804162
Nordeste,2009,February,5098685
Sudeste,2009,February,16190533
Sul,2009,February,5465140
Centro-Oeste,2009,February,1936622.71
Brasil,2008,February,31730940.65
Norte,2008,February,1836296
Nordeste,2008,February,5284769.65
Sudeste,2008,February,17088727
Sul,2008,February,5689547
Centro-Oeste,2008,February,1831601
Brasil,2007,February,30324669
Norte,2007,February,1752986
Nordeste,2007,February,4883152
Sudeste,2007,February,16615359
Sul,2007,February,5351937
Centro-Oeste,2007,February,1721235
Brasil,2006,February,29383486.499999993
Norte,2006,February,1646351.9
Nordeste,2006,February,4704041.08
Sudeste,2006,February,16178817.62
Sul,2006,February,5187222.33
Centro-Oeste,2006,February,1667053.57
Brasil,2005,February,27838480.970000003
Norte,2005,February,1619124.37
Nordeste,2005,February,4526038.109999999
Sudeste,2005,February,15157054.859999998
Sul,2005,February,4966585.859999999
Centro-Oeste,2005,February,1569677.7699999998
Brasil,2004,February,26508170.77
Norte,2004,February,1507448.5899999999
Nordeste,2004,February,4139767.9999999995
Sudeste,2004,February,14714713.51
Sul,2004,February,4690227.859999999
Centro-Oeste,2004,February,1456012.8099999998
Brasil,2024,March,47827070.53890002
Norte,2024,March,3466495.4699999997
Nordeste,2024,March,8208486.8100000005
Sudeste,2024,March,23022452.700000007
Sul,2024,March,9355275.2189
Centro-Oeste,2024,March,3774360.34
Brasil,2023,March,45714391.09099998
Norte,2023,March,3327716.43
Nordeste,2023,March,7914538.819999999
Sudeste,2023,March,22083389.151
Sul,2023,March,8953570.25
Centro-Oeste,2023,March,3435176.440000001
Brasil,2022,March,44674065.28000001
Norte,2022,March,3003595.52
Nordeste,2022,March,7459576.670000001
Sudeste,2022,March,22069843.080000006
Sul,2022,March,8768559.93
Centro-Oeste,2022,March,3372490.08
Brasil,2021,March,43661452.061
Norte,2021,March,2891450.83
Nordeste,2021,March,7244997.409999999
Sudeste,2021,March,21988991.290999994
Sul,2021,March,8257890.369999999
Centro-Oeste,2021,March,3278122.1599999997
Brasil,2020,March,41146409.01900001
Norte,2020,March,2815284.1799999997
Nordeste,2020,March,6937722.5
Sudeste,2020,March,20221091.040000003
Sul,2020,March,7950412.569
Centro-Oeste,2020,March,3221898.73
Brasil,2019,March,41155262.42000001
Norte,2019,March,2600590.65
Nordeste,2019,March,7056848.88
Sudeste,2019,March,20626329.709999993
Sul,2019,March,7767428.41
Centro-Oeste,2019,March,3104064.77
Brasil,2018,March,41112932.61999999
Norte,2018,March,2868573.59
Nordeste,2018,March,6587721.199999999
Sudeste,2018,March,20852952.930000003
Sul,2018,March,7771959.059999999
Centro-Oeste,2018,March,3031725.84
Brasil,2017,March,40552671.160000004
Norte,2017,March,2795464
Nordeste,2017,March,6796094.529999999
Sudeste,2017,March,20172690.959999997
Sul,2017,March,7845156.26
Centro-Oeste,2017,March,2943265.41
Brasil,2016,March,39451889.24
Norte,2016,March,2863718
Nordeste,2016,March,6799183.5
Sudeste,2016,March,19611353.62
Sul,2016,March,7259987.59
Centro-Oeste,2016,March,2917646.53
Brasil,2015,March,39765521.39
Norte,2015,March,2709350
Nordeste,2015,March,6848289.03
Sudeste,2015,March,20150053.41
Sul,2015,March,7278854
Centro-Oeste,2015,March,2778974.95
Brasil,2014,March,40315392
Norte,2014,March,2612667
Nordeste,2014,March,6857552
Sudeste,2014,March,20786600
Sul,2014,March,7281924
Centro-Oeste,2014,March,2776649
Brasil,2013,March,38442191.55
Norte,2013,March,2378191.55
Nordeste,2013,March,6705944
Sudeste,2013,March,19907218
Sul,2013,March,6833953
Centro-Oeste,2013,March,2616885
Brasil,2012,March,38635573.72
Norte,2012,March,2439658.4299999997
Nordeste,2012,March,6407753
Sudeste,2012,March,20243305
Sul,2012,March,7026116.29
Centro-Oeste,2012,March,2518741
Brasil,2011,March,36350690.05
Norte,2011,March,2235928.05
Nordeste,2011,March,6026836
Sudeste,2011,March,19390849
Sul,2011,March,6435946
Centro-Oeste,2011,March,2261131
Brasil,2010,March,35116881.82
Norte,2010,March,2107322.82
Nordeste,2010,March,6118961
Sudeste,2010,March,18521916
Sul,2010,March,6199985
Centro-Oeste,2010,March,2168697
Brasil,2009,March,31977749.51
Norte,2009,March,1882490
Nordeste,2009,March,5391003
Sudeste,2009,March,16931565
Sul,2009,March,5742612
Centro-Oeste,2009,March,2030079.51
Brasil,2008,March,32118714.86
Norte,2008,March,1900506
Nordeste,2008,March,5365905.86
Sudeste,2008,March,17293931
Sul,2008,March,5723834
Centro-Oeste,2008,March,1834538
Brasil,2007,March,31312900
Norte,2007,March,1820537
Nordeste,2007,March,4985447
Sudeste,2007,March,17288542
Sul,2007,March,5424059
Centro-Oeste,2007,March,1794315
Brasil,2006,March,29897827.73
Norte,2006,March,1741059.95
Nordeste,2006,March,4976021.879999999
Sudeste,2006,March,16273216.75
Sul,2006,March,5211509.389999999
Centro-Oeste,2006,March,1696019.7600000002
Brasil,2005,March,28598631.508999996
Norte,2005,March,1669597.5300000003
Nordeste,2005,March,4692201.49
Sudeste,2005,March,15516647.869999997
Sul,2005,March,5069873.21
Centro-Oeste,2005,March,1650311.409
Brasil,2004,March,27284329.409999996
Norte,2004,March,1574176.6900000002
Nordeste,2004,March,4372743.11
Sudeste,2004,March,14903795.679999998
Sul,2004,March,4898770.4
Centro-Oeste,2004,March,1534843.53
Brasil,2024,April,47337699.25999999
Norte,2024,April,3455924.38
Nordeste,2024,April,8354166.96
Sudeste,2024,April,22685707.968999997
Sul,2024,April,9077472.571
Centro-Oeste,2024,April,3764427.380000001
Brasil,2023,April,44884947.12999998
Norte,2023,April,3213742.59
Nordeste,2023,April,7809121.700000001
Sudeste,2023,April,21706203.680000003
Sul,2023,April,8645236.81
Centro-Oeste,2023,April,3510642.349999999
Brasil,2022,April,43210840.669999994
Norte,2022,April,2935305.7800000003
Nordeste,2022,April,7240387.709999999
Sudeste,2022,April,21718099.509999998
Sul,2022,April,7909914.340000001
Centro-Oeste,2022,April,3407133.33
Brasil,2021,April,42657441.68000001
Norte,2021,April,2986817.7800000003
Nordeste,2021,April,7205497.630000001
Sudeste,2021,April,21061906.689999998
Sul,2021,April,8114934.320000001
Centro-Oeste,2021,April,3288285.26
Brasil,2020,April,37272076.859999985
Norte,2020,April,2629850.4
Nordeste,2020,April,6370728.71
Sudeste,2020,April,18064679.860000003
Sul,2020,April,7081306.47
Centro-Oeste,2020,April,3125511.42
Brasil,2019,April,39731356.75999998
Norte,2019,April,2568934.2800000003
Nordeste,2019,April,6780238.95
Sudeste,2019,April,19827659.31
Sul,2019,April,7470885.5
Centro-Oeste,2019,April,3083638.7199999997
Brasil,2018,April,40697563.25000002
Norte,2018,April,2679313.77
Nordeste,2018,April,6668104.29
Sudeste,2018,April,20732785.770000003
Sul,2018,April,7527392.069999999
Centro-Oeste,2018,April,3089967.35
Brasil,2017,April,39436572.29
Norte,2017,April,2721049
Nordeste,2017,April,6567471.6
Sudeste,2017,April,19877597.32
Sul,2017,April,7275839.72
Centro-Oeste,2017,April,2994614.65
Brasil,2016,April,40276231.080000006
Norte,2016,April,2727271
Nordeste,2016,April,6615689.72
Sudeste,2016,April,20520225.2
Sul,2016,April,7326166.4799999995
Centro-Oeste,2016,April,3086878.68
Brasil,2015,April,39602500.300000004
Norte,2015,April,2646878
Nordeste,2015,April,6677082.84
Sudeste,2015,April,20215138.02
Sul,2015,April,7236051.6
Centro-Oeste,2015,April,2827349.84
Brasil,2014,April,39550251
Norte,2014,April,2601327
Nordeste,2014,April,6683649
Sudeste,2014,April,20451935
Sul,2014,April,7007480
Centro-Oeste,2014,April,2805860
Brasil,2013,April,38653663.43
Norte,2013,April,2461104.4299999997
Nordeste,2013,April,6852552
Sudeste,2013,April,20097448
Sul,2013,April,6572123
Centro-Oeste,2013,April,2670436
Brasil,2012,April,37995869.09
Norte,2012,April,2361904.7800000003
Nordeste,2012,April,6271553
Sudeste,2012,April,20295686
Sul,2012,April,6534981.31
Centro-Oeste,2012,April,2531744
Brasil,2011,April,36048318.05
Norte,2011,April,2218663.05
Nordeste,2011,April,5966554
Sudeste,2011,April,19369031
Sul,2011,April,6183233
Centro-Oeste,2011,April,2310837
Brasil,2010,April,35025860.489999995
Norte,2010,April,2146015.49
Nordeste,2010,April,5884040
Sudeste,2010,April,18825122
Sul,2010,April,5982263
Centro-Oeste,2010,April,2188420
Brasil,2009,April,32042792.8
Norte,2009,April,1919027
Nordeste,2009,April,5307847
Sudeste,2009,April,17027530
Sul,2009,April,5671556
Centro-Oeste,2009,April,2116832.8
Brasil,2008,April,31952656.29
Norte,2008,April,1888899
Nordeste,2008,April,5266621.29
Sudeste,2008,April,17284914
Sul,2008,April,5604344
Centro-Oeste,2008,April,1907878
Brasil,2007,April,32030744
Norte,2007,April,1832867
Nordeste,2007,April,5117947
Sudeste,2007,April,17761372
Sul,2007,April,5404659
Centro-Oeste,2007,April,1913899
Brasil,2006,April,29887953.009999998
Norte,2006,April,1733653.3900000001
Nordeste,2006,April,4856338.37
Sudeste,2006,April,16494218.43
Sul,2006,April,5062542.87
Centro-Oeste,2006,April,1741199.9499999997
Brasil,2005,April,29355501.910000008
Norte,2005,April,1651886.5100000002
Nordeste,2005,April,4675415.4799999995
Sudeste,2005,April,16304407.599999998
Sul,2005,April,4997008.14
Centro-Oeste,2005,April,1726784.1800000002
Brasil,2004,April,28046182.351
Norte,2004,April,1598862.11
Nordeste,2004,April,4461999.48
Sudeste,2004,April,15501322.96
Sul,2004,April,4873311.140000001
Centro-Oeste,2004,April,1610686.661
Brasil,2024,May,47038470.85999997
Norte,2024,May,3606561.2600000002
Nordeste,2024,May,8358661.739999998
Sudeste,2024,May,22864311.099999998
Sul,2024,May,8425185.92
Centro-Oeste,2024,May,3783750.840000001
Brasil,2023,May,43164881.79900002
Norte,2023,May,3393481.43
Nordeste,2023,May,7940968.289
Sudeste,2023,May,20584052.929999996
Sul,2023,May,7868683.14
Centro-Oeste,2023,May,3377696.0100000002
Brasil,2022,May,42050012.731000006
Norte,2022,May,3100010.501
Nordeste,2022,May,7269431.8500000015
Sudeste,2022,May,20788847.08
Sul,2022,May,7536736.120000001
Centro-Oeste,2022,May,3354987.18
Brasil,2021,May,40784637.999999985
Norte,2021,May,3053068.8200000003
Nordeste,2021,May,6974430.130000002
Sudeste,2021,May,19953594.76
Sul,2021,May,7579901.759999999
Centro-Oeste,2021,May,3223642.53
Brasil,2020,May,36129788.54010001
Norte,2020,May,2656714.05
Nordeste,2020,May,6362263.010000001
Sudeste,2020,May,17378115.140000004
Sul,2020,May,6672169.1400999995
Centro-Oeste,2020,May,3060527.2
Brasil,2019,May,40487228.46
Norte,2019,May,2688743.06
Nordeste,2019,May,7061639.58
Sudeste,2019,May,20187002.549999997
Sul,2019,May,7374881.39
Centro-Oeste,2019,May,3174961.88
Brasil,2018,May,39267849.54999999
Norte,2018,May,2666894.6700000004
Nordeste,2018,May,6660480.090000001
Sudeste,2018,May,19736423.810000006
Sul,2018,May,7190266.670000001
Centro-Oeste,2018,May,3013784.3099999996
Brasil,2017,May,38159955.32
Norte,2017,May,2934453
Nordeste,2017,May,6677706.97
Sudeste,2017,May,18885259.02
Sul,2017,May,6691196.25
Centro-Oeste,2017,May,2971340.08
Brasil,2016,May,38652561.57999999
Norte,2016,May,2862447
Nordeste,2016,May,6725406.93
Sudeste,2016,May,19303127.16
Sul,2016,May,6859486.78
Centro-Oeste,2016,May,2902093.71
Brasil,2015,May,38208982.339999996
Norte,2015,May,2718412
Nordeste,2015,May,6660375.949999999
Sudeste,2015,May,19296451.63
Sul,2015,May,6683610.3
Centro-Oeste,2015,May,2850132.46
Brasil,2014,May,39100499
Norte,2014,May,2707327
Nordeste,2014,May,6683419
Sudeste,2014,May,20068194
Sul,2014,May,6794930
Centro-Oeste,2014,May,2846629
Brasil,2013,May,38344861.57
Norte,2013,May,2454163.5700000003
Nordeste,2013,May,6660227
Sudeste,2013,May,19911821
Sul,2013,May,6613672
Centro-Oeste,2013,May,2704978
Brasil,2012,May,36810191.03
Norte,2012,May,2430160.15
Nordeste,2012,May,6436375
Sudeste,2012,May,19244538
Sul,2012,May,6141746.88
Centro-Oeste,2012,May,2557371
Brasil,2011,May,35565987.39
Norte,2011,May,2262894.39
Nordeste,2011,May,5899310
Sudeste,2011,May,18908980
Sul,2011,May,6147984
Centro-Oeste,2011,May,2346819
Brasil,2010,May,34296978
Norte,2010,May,2175440
Nordeste,2010,May,5959632
Sudeste,2010,May,18240192
Sul,2010,May,5730901
Centro-Oeste,2010,May,2190813
Brasil,2009,May,30945452.900000002
Norte,2009,May,1923559
Nordeste,2009,May,5189806
Sudeste,2009,May,16500151
Sul,2009,May,5266440
Centro-Oeste,2009,May,2065496.9000000001
Brasil,2008,May,32299963.39
Norte,2008,May,1933034
Nordeste,2008,May,5436907.39
Sudeste,2008,May,17577262
Sul,2008,May,5382338
Centro-Oeste,2008,May,1970422
Brasil,2007,May,31382917
Norte,2007,May,1889427
Nordeste,2007,May,5132742
Sudeste,2007,May,17290528
Sul,2007,May,5219841
Centro-Oeste,2007,May,1850379
Brasil,2006,May,28925038.559999995
Norte,2006,May,1753959.1899999997
Nordeste,2006,May,4793831.55
Sudeste,2006,May,15885834.52
Sul,2006,May,4807141
Centro-Oeste,2006,May,1684272.2999999998
Brasil,2005,May,28482150.609999996
Norte,2005,May,1689408.58
Nordeste,2005,May,4738600.68
Sudeste,2005,May,15581963.429999998
Sul,2005,May,4799820.58
Centro-Oeste,2005,May,1672357.34
Brasil,2004,May,27244506.479999993
Norte,2004,May,1625478.9200000002
Nordeste,2004,May,4423584.5200000005
Sudeste,2004,May,14906628.719999999
Sul,2004,May,4723026.16
Centro-Oeste,2004,May,1565788.16
Brasil,2024,June,0
Norte,2024,June,0
Nordeste,2024,June,0
Sudeste,2024,June,0
Sul,2024,June,0
Centro-Oeste,2024,June,0
Brasil,2023,June,42649622.92999998
Norte,2023,June,3375363.1399999997
Nordeste,2023,June,7727777.839999998
Sudeste,2023,June,20480714.120000005
Sul,2023,June,7697984.850000001
Centro-Oeste,2023,June,3367782.9799999995
Brasil,2022,June,40938867.979
Norte,2022,June,3120577.6099999994
Nordeste,2022,June,7021727.61
Sudeste,2022,June,19924574.97
Sul,2022,June,7594186.448999998
Centro-Oeste,2022,June,3277801.34
Brasil,2021,June,40428922.62999999
Norte,2021,June,3043949.37
Nordeste,2021,June,6994341.5600000005
Sudeste,2021,June,19751840.64
Sul,2021,June,7330462.949999998
Centro-Oeste,2021,June,3308328.1100000003
Brasil,2020,June,35774623.69999998
Norte,2020,June,2708916.2800000003
Nordeste,2020,June,6240148.050000001
Sudeste,2020,June,17315901.33
Sul,2020,June,6566358.790000001
Centro-Oeste,2020,June,2943299.2500000005
Brasil,2019,June,38448963.43000002
Norte,2019,June,2720526.67
Nordeste,2019,June,6631774.709999998
Sudeste,2019,June,18980779.55
Sul,2019,June,7058333.919999998
Centro-Oeste,2019,June,3057548.5799999996
Brasil,2018,June,38207689.970000006
Norte,2018,June,2582786.8200000003
Nordeste,2018,June,6603192.869999999
Sudeste,2018,June,19179160.04
Sul,2018,June,6899775.49
Centro-Oeste,2018,June,2942774.75
Brasil,2017,June,38119592.089999996
Norte,2017,June,2891844
Nordeste,2017,June,6597184.91
Sudeste,2017,June,18859514.270000003
Sul,2017,June,6804976.2
Centro-Oeste,2017,June,2966072.71
Brasil,2016,June,37557220.230000004
Norte,2016,June,2818826
Nordeste,2016,June,6602855.78
Sudeste,2016,June,18651588.86
Sul,2016,June,6644135.8
Centro-Oeste,2016,June,2839813.79
Brasil,2015,June,37269714.830000006
Norte,2015,June,2693038
Nordeste,2015,June,6441764.46
Sudeste,2015,June,18752590.64
Sul,2015,June,6567886
Centro-Oeste,2015,June,2814435.73
Brasil,2014,June,37726472.88
Norte,2014,June,2643397
Nordeste,2014,June,6378157.88
Sudeste,2014,June,19293127
Sul,2014,June,6627215
Centro-Oeste,2014,June,2784576
Brasil,2013,June,37627698.010000005
Norte,2013,June,2449533.01
Nordeste,2013,June,6384530
Sudeste,2013,June,19652655
Sul,2013,June,6498366
Centro-Oeste,2013,June,2642614
Brasil,2012,June,36528393.11
Norte,2012,June,2382273.83
Nordeste,2012,June,6135291
Sudeste,2012,June,19343073
Sul,2012,June,6180121.28
Centro-Oeste,2012,June,2487634
Brasil,2011,June,35159573.72
Norte,2011,June,2323603.7199999997
Nordeste,2011,June,5809043
Sudeste,2011,June,18737534
Sul,2011,June,6011171
Centro-Oeste,2011,June,2278222
Brasil,2010,June,34169459
Norte,2010,June,2198244
Nordeste,2010,June,5905720
Sudeste,2010,June,18212704
Sul,2010,June,5652619
Centro-Oeste,2010,June,2200172
Brasil,2009,June,30715169.95
Norte,2009,June,1993823
Nordeste,2009,June,5122496
Sudeste,2009,June,16330119
Sul,2009,June,5261043
Centro-Oeste,2009,June,2007688.95
Brasil,2008,June,31742987.79
Norte,2008,June,1980943
Nordeste,2008,June,5241034.79
Sudeste,2008,June,17180445
Sul,2008,June,5368281
Centro-Oeste,2008,June,1972284
Brasil,2007,June,30766760
Norte,2007,June,1899318
Nordeste,2007,June,5079581
Sudeste,2007,June,16890489
Sul,2007,June,5114607
Centro-Oeste,2007,June,1782765
Brasil,2006,June,29068797.599999994
Norte,2006,June,1761920.0300000003
Nordeste,2006,June,4769522.06
Sudeste,2006,June,15969883.010000002
Sul,2006,June,4879785.7700000005
Centro-Oeste,2006,June,1687686.7299999997
Brasil,2005,June,28326181.920000013
Norte,2005,June,1692287.96
Nordeste,2005,June,4575214.83
Sudeste,2005,June,15633866.989999998
Sul,2005,June,4760323.789999999
Centro-Oeste,2005,June,1664488.35
Brasil,2004,June,27082961.479999997
Norte,2004,June,1641381.91
Nordeste,2004,June,4409301.739999999
Sudeste,2004,June,14898517.41
Sul,2004,June,4556563.56
Centro-Oeste,2004,June,1577196.8599999999
Brasil,2024,July,0
Norte,2024,July,0
Nordeste,2024,July,0
Sudeste,2024,July,0
Sul,2024,July,0
Centro-Oeste,2024,July,0
Brasil,2023,July,42002500.300000004
Norte,2023,July,3426421.4
Nordeste,2023,July,7463808.490000002
Sudeste,2023,July,20135946.169999998
Sul,2023,July,7705370.51
Centro-Oeste,2023,July,3270953.73
Brasil,2022,July,41232572.94999999
Norte,2022,July,3254761.24
Nordeste,2022,July,7104760.800000002
Sudeste,2022,July,19948620.89
